"","Athlete","Team","Score","Remark","Sex","Form","Group"
"283","MALAK MOHAMED Omar Montasser","EGY","(DNS)","","M","Gun (Cudgel/Sta?)-","Group C"
"284","MUSTAFIN Nurlan","KAZ","8.8","1ST Prize","M","Jian (Straight Sword)- ","Group C"
"285","WAIBLINGER Adrian Hou","USA","8.79","2ND Prize","M","Jian (Straight Sword)- ","Group C"
"286","LIU Dominik Xinyang","GBR","8.75","3RD Prize","M","Jian (Straight Sword)- ","Group C"
"287","MARCEL Gavin Julian","USA","8.66","3RD Prize","M","Jian (Straight Sword)- ","Group C"
"288","PUZIS Timur","ISR","8.65","","M","Jian (Straight Sword)- ","Group C"
"289","ROMANO CARDOSO SILVESTRE Nina","BRA","8.72","","W","Other Nanquan Routines-","Group E"
"290","ROMERO Sabine","FRA","(DNS)","","W","Other Nanquan Routines-","Group E"
"291","HERMANS Rosemary","AUS","(DNS)","","W","Other Nanquan Routines-","Group E"
"292","KOKKINAKI Anna","GRC","(DNS)","","W","Other Nanquan Routines-","Group E"
"293","MATOS COSTA Mafalda","PRT","(DNS)","","W","Other Nanquan Routines-","Group E"
"294","ROVIRA-ALVAREZ Carmen Margarita","USA","(DNS)","","W","Other Nanquan Routines-","Group E"
"295","ZWAAL Jan Joris","NLD","8.46","1ST Prize","M","Shaolinquan-","Group B"
"296","FRENKEL David","ISR","8.43","2ND Prize","M","Shaolinquan-","Group B"
"297","HUANACUNI PINEDO Huaskar Soriam","BOL","8.41","3RD Prize","M","Shaolinquan-","Group B"
"298","MOHAMED IBRAHIM Mohamed Mokhtar","EGY","8.4","","M","Shaolinquan-","Group B"
"299","LEON RAZNATOVIC Darko Alejandro","BOL","(DNS)","","M","Shaolinquan-","Group B"
"300","DONG Dennis Bokui","USA","8.57","1ST Prize","M","Other Barehand Routines -","Group A/B"
"301","CHAN Fengze","MAC","8.51","1ST Prize","M","Other Barehand Routines -","Group A/B"
"302","HE Dragon","USA","8.5","2ND Prize","M","Other Barehand Routines -","Group A/B"
"303","WENG Linxu","SGP","8.49","2ND Prize","M","Other Barehand Routines -","Group A/B"
"304","YAP Jun Kai","MYS","8.48","3RD Prize","M","Other Barehand Routines -","Group A/B"
"305","CHIN Shawn","MYS","8.46","3RD Prize","M","Other Barehand Routines -","Group A/B"
"306","TAN Qi Han Darren","SGP","8.43","3RD Prize","M","Other Barehand Routines -","Group A/B"
"307","ZHANG Jason","USA","8.43","3RD Prize","M","Other Barehand Routines -","Group A/B"
"308","WANG Allan Chenxi","USA","8.41","","M","Other Barehand Routines -","Group A/B"
"309","ZHOU Zichin","AUS","8.4","","M","Other Barehand Routines -","Group A/B"
"310","RAZO ACOSTA Jose Luis","MEX","8.37","","M","Other Barehand Routines -","Group A/B"
"311","TORRES RODRIGUEZ Mario Rafael","MEX","8.35","","M","Other Barehand Routines -","Group A/B"
"312","DIMEGLIO Charlene Jasmine","USA","(DNS)","","M","Other Barehand Routines -","Group A/B"
"313","KUCUKAKYUZ Kaan","TUR","8.61","1ST Prize","M","Other Nanquan Routines-","Group C"
"314","DE OLIVEIRA PICONE Arthur","BRA","8.6","1ST Prize","M","Other Nanquan Routines-","Group C"
"315","KOVALOV Mykyta","UKR","8.59","1ST Prize","M","Other Nanquan Routines-","Group C"
"316","SILVA VERA Miguel","ESP","8.59","2ND Prize","M","Other Nanquan Routines-","Group C"
"317","PRADO DE MELO Jorge Augusto","BRA","8.57","2ND Prize","M","Other Nanquan Routines-","Group C"
"318","WRINN Benjamin Charles","USA","8.57","2ND Prize","M","Other Nanquan Routines-","Group C"
"319","TELESSINOV Arman","KAZ","8.56","2ND Prize","M","Other Nanquan Routines-","Group C"
"320","CHEN Zheyu","USA","8.56","3RD Prize","M","Other Nanquan Routines-","Group C"
"321","TOUROUTSIKAS Panagiotis","GRC","8.55","3RD Prize","M","Other Nanquan Routines-","Group C"
"322","BROUSALIS Panagiotis","GRC","8.54","3RD Prize","M","Other Nanquan Routines-","Group C"
"323","ONIANI Giorgi","GEO","8.54","3RD Prize","M","Other Nanquan Routines-","Group C"
"324","VIRO Lazuardi Jana","IDN","8.53","3RD Prize","M","Other Nanquan Routines-","Group C"
"325","DERZKO Franciszek Jan","POL","8.53","3RD Prize","M","Other Nanquan Routines-","Group C"
"326","CHEONG Io Kei","MAC","8.53","3RD Prize","M","Other Nanquan Routines-","Group C"
"327","MAKRIS Panagiotis","GRC","8.52","3RD Prize","M","Other Nanquan Routines-","Group C"
"328","BAZZARA Mario Faris","ITA","8.52","","M","Other Nanquan Routines-","Group C"
"329","HUSAK Lukas","CZE","8.51","","M","Other Nanquan Routines-","Group C"
"330","MIU Andrei Eduard","ROU","8.51","","M","Other Nanquan Routines-","Group C"
"331","TURCHIAROLO Gaetano Attilio","ITA","8.51","","M","Other Nanquan Routines-","Group C"
"332","PAPATHANASIOU Theodoros Marios","GRC","8.5","","M","Other Nanquan Routines-","Group C"
"333","KREMMYDAS Panagiotis","GRC","8.48","","M","Other Nanquan Routines-","Group C"
"334","WITHANAGE Oshan Chalakshana","LKA","8.46","","M","Other Nanquan Routines-","Group C"
"335","MENEZ ALARCON Arhat","MEX","8.45","","M","Other Nanquan Routines-","Group C"
"336","DINCU Mihai Daniel","ROU","8.44","","M","Other Nanquan Routines-","Group C"
"337","BENSADOUNE Haithem","DZA","(DNS)","","M","Other Nanquan Routines-","Group C"
"338","ALVAREZ RUIZ Mario Alejandro","MEX","8.58","1ST Prize","M","Yingzhaoquan (Eagle Style)- ","Group C"
"339","NAIDA Bohdan","UKR","8.55","2ND Prize","M","Yingzhaoquan (Eagle Style)- ","Group C"
"340","RAINERS Andzans","LVA","8.52","3RD Prize","M","Yingzhaoquan (Eagle Style)- ","Group C"
"341","BOJORQUEZ LOPEZ Roger","MEX","8.51","3RD Prize","M","Yingzhaoquan (Eagle Style)- ","Group C"
"342","RIVAS RODRIGUEZ Humberto","MEX","8.5","","M","Yingzhaoquan (Eagle Style)- ","Group C"
"343","KUCHERUK Nikita","UKR","(DNS)","","M","Yingzhaoquan (Eagle Style)- ","Group C"
"344","Jack William CALDICOTT","GBR","8.66","1ST Prize","M","Bajiquan-","Group C"
"345","YEUNG Cheuk Yin","HKG","8.62","2ND Prize","M","Bajiquan-","Group C"
"346","JULLIAN Banyan Noel Yu Hai","USA","8.54","3RD Prize","M","Bajiquan-","Group C"
"347","BRAYTON Marshall Tsan-Wei","USA","8.52","3RD Prize","M","Bajiquan-","Group C"
"348","ANTILLON MALDONADO Cristian Ricardo","MEX","8.48","","M","Bajiquan-","Group C"
"349","ABDALLA WAEL Mostafa Abdelkarim","EGY","8.41","","M","Bajiquan-","Group C"
"350","MALAK MOHAMED Omar Montasser","EGY","(DNS)","","M","Bajiquan-","Group C"
"351","BOUKHENNOUFA Yacine","DZA","(DNS)","","M","Bajiquan-","Group C"
"352","AMMAR MOHAMED Ibrahim Ismail","EGY","8.64","1ST Prize","M","Chaquan - ","Group C"
"353","Junayde Ilhan GUVEN","GBR","8.6","1ST Prize","M","Chaquan - ","Group C"
"354","GERMANOZASHVILI Giorgi","GEO","8.58","2ND Prize","M","Chaquan - ","Group C"
"355","XIAN Daniel Haocheng","USA","8.56","2ND Prize","M","Chaquan - ","Group C"
"356","CHOW Yu Hong","HKG","8.56","2ND Prize","M","Chaquan - ","Group C"
"357","NUTSUBIDZE Nikolozi","GEO","8.54","3RD Prize","M","Chaquan - ","Group C"
"358","LIU Dominik Xinyang","GBR","8.53","3RD Prize","M","Chaquan - ","Group C"
"359","MALEYEV Kirill","KAZ","8.52","3RD Prize","M","Chaquan - ","Group C"
"360","WANG Bryant Xu","USA","8.52","3RD Prize","M","Chaquan - ","Group C"
"361","TULEYEV Aldiyar","KAZ","8.5","3RD Prize","M","Chaquan - ","Group C"
"362","PUZIS Timur","ISR","8.49","","M","Chaquan - ","Group C"
"363","DAYARATHNE Thalagahamula Gedara Kavindu Sahan","LKA","8.48","","M","Chaquan - ","Group C"
"364","LU Kelvin Yu","USA","8.45","","M","Chaquan - ","Group C"
"365","GUNATUNGA Sapukotanage Maneetha Charanaravinda","LKA","8.45","","M","Chaquan - ","Group C"
"366","BAI Lawren","USA","8.45","","M","Chaquan - ","Group C"
"367","ADHIKARI MUDIYANSELAGE Keshan Adhikari","LKA","8.38","","M","Chaquan - ","Group C"
"368","LEI Wang Chun","HKG","8.63","1ST Prize","M","Huaquan- ","Group C"
"369","EDILASHVILI Saba","GEO","8.6","2ND Prize","M","Huaquan- ","Group C"
"370","LI Jasper Zhen Bao","USA","8.56","3RD Prize","M","Huaquan- ","Group C"
"371","BAI Jiwei","CAN","8.53","3RD Prize","M","Huaquan- ","Group C"
"372","MUSTAFIN Nurlan","KAZ","8.49","","M","Huaquan- ","Group C"
"373","CHEOK Wa Weng","MAC","8.48","","M","Huaquan- ","Group C"
"374","MARCHESI Giorgio","ITA","8.61","1ST Prize","M","Shaolinquan-","Group C"
"375","MUKHAMETOV Alizhan","KAZ","8.6","1ST Prize","M","Shaolinquan-","Group C"
"376","KORENC Karel","CZE","8.57","2ND Prize","M","Shaolinquan-","Group C"
"377","KOUPSTAS Iliya","ISR","8.56","2ND Prize","M","Shaolinquan-","Group C"
"378","OMAR EMAD Shehata Tony","EGY","8.55","2ND Prize","M","Shaolinquan-","Group C"
"379","CHEN Charlie Samuel","USA","8.53","3RD Prize","M","Shaolinquan-","Group C"
"380","IFARGAN Yuval","ISR","8.52","3RD Prize","M","Shaolinquan-","Group C"
"381","YOUSSEF OSAMA Abdelhalim Elsaeed","EGY","8.51","3RD Prize","M","Shaolinquan-","Group C"
"382","Matthew Carleton WRIGHT","GBR","8.51","3RD Prize","M","Shaolinquan-","Group C"
"383","EL MABROUK Rafed","TUN","8.5","3RD Prize","M","Shaolinquan-","Group C"
"384","BREZETOS Georgios","GRC","8.5","","M","Shaolinquan-","Group C"
"385","YOSHIDA Yuhi","JPN","8.5","","M","Shaolinquan-","Group C"
"386","MOHAMED ELAGAMI Abdalla Rashad","EGY","8.49","","M","Shaolinquan-","Group C"
"387","PUZIS Kiril","ISR","8.42","","M","Shaolinquan-","Group C"
"388","MENDEZ COBA Jose Fernando","MEX","8.4","","M","Shaolinquan-","Group C"
"389","TRAIZE Miron","KAZ","8.39","","M","Shaolinquan-","Group C"
"390","DONG Lucas Bogang","USA","8.61","1ST Prize","M","Xingyiquan-","Group C"
"391","HO Ching Hin","HKG","8.6","2ND Prize","M","Xingyiquan-","Group C"
"392","BOROOAH Arhaan","IND","8.58","3RD Prize","M","Xingyiquan-","Group C"
"393","ZHENG Lin","USA","8.57","3RD Prize","M","Xingyiquan-","Group C"
"394","IMI ARACHILLAGE Anuhas Chandupa Ranaweera","LKA","8.4","","M","Xingyiquan-","Group C"
"395","MGQIBISA Luvuyolwethu Sphesihle","ZAF","8.32","","M","Xingyiquan-","Group C"
"396","WU Brad Tianzhou","USA","(DNS)","","M","Xingyiquan-","Group C"
"397","WANG Justin Xuming","USA","8.64","1ST Prize","M","Other Barehand Routines-","Group C"
"398","SHEN Justin","USA","8.6","1ST Prize","M","Other Barehand Routines-","Group C"
"399","SHYNKARENKO Volodymyr","UKR","8.58","1ST Prize","M","Other Barehand Routines-","Group C"
"400","LIU Albert","USA","8.54","2ND Prize","M","Other Barehand Routines-","Group C"
"401","DJUNAIDY Dexton Jax","USA","8.54","2ND Prize","M","Other Barehand Routines-","Group C"
"402","GALVANINE WILLE Heitor","BRA","8.53","2ND Prize","M","Other Barehand Routines-","Group C"
"403","SPIRO Oliver Sheldon","USA","8.53","2ND Prize","M","Other Barehand Routines-","Group C"
"404","LEW Casey Tianyu","USA","8.53","2ND Prize","M","Other Barehand Routines-","Group C"
"405","VON DEM BRUCH Noah James","USA","8.52","2ND Prize","M","Other Barehand Routines-","Group C"
"406","PETRAKOVSKIY Denis","KAZ","8.52","3RD Prize","M","Other Barehand Routines-","Group C"
"407","ZHADIGER Alkarim","KAZ","8.52","3RD Prize","M","Other Barehand Routines-","Group C"
"408","WAIBLINGER Adrian Hou","USA","8.52","3RD Prize","M","Other Barehand Routines-","Group C"
"409","HUANG Daniel Jiang","USA","8.5","3RD Prize","M","Other Barehand Routines-","Group C"
"410","BERRY Jake Anthony","ZAF","8.5","3RD Prize","M","Other Barehand Routines-","Group C"
"411","MARCEL Gavin Julian","USA","8.49","3RD Prize","M","Other Barehand Routines-","Group C"
"412","FARR Preston Minghan","USA","8.48","3RD Prize","M","Other Barehand Routines-","Group C"
"413","ZHANG Jayden Tianyi","CAN","8.48","3RD Prize","M","Other Barehand Routines-","Group C"
"414","MAHMOUD AHMED Abdalla Abdelhalim","EGY","8.48","","M","Other Barehand Routines-","Group C"
"415","SRNEC Dominik Ramil","SVK","8.47","","M","Other Barehand Routines-","Group C"
"416","DA GAMA BARJA David","PRT","8.47","","M","Other Barehand Routines-","Group C"
"417","DE CIMA FERNANDES Edgar","PRT","8.46","","M","Other Barehand Routines-","Group C"
"418","LEUNG Wai Man","HKG","8.46","","M","Other Barehand Routines-","Group C"
"419","SEMYESHKIN Konstantin","LVA","8.45","","M","Other Barehand Routines-","Group C"
"420","HUANG Samuel Jiang","USA","8.45","","M","Other Barehand Routines-","Group C"
"421","SOTHERN Rhyse Kegan","ZAF","8.44","","M","Other Barehand Routines-","Group C"
"422","NEDELEA Andrei Mario","ROU","8.44","","M","Other Barehand Routines-","Group C"
"423","MOHAMED AHMED Fathalla Taha","EGY","8.42","","M","Other Barehand Routines-","Group C"
"424","TASOPOULOS Ioannis","GRC","8.42","","M","Other Barehand Routines-","Group C"
"425","LI Chengrui","USA","(DNS)","","M","Other Barehand Routines-","Group C"
"426","XIAN Daniel Haocheng","USA","(DNS)","","M","Other Barehand Routines-","Group C"
"427","TELESSINOV Arman","KAZ","(DNS)","","M","Other Barehand Routines-","Group C"
"428","ARUTYUNJAN Aurora","HUN","8.46","1ST Prize","W","Shaolinquan-","Group B"
"429","KARMEN ADEL Rashad Khater","EGY","8.38","2ND Prize","W","Shaolinquan-","Group B"
"430","SILVA CONCEICAO Lorena","BRA","8.37","3RD Prize","W","Shaolinquan-","Group B"
"431","TRAIZE Arina","KAZ","8.34","3RD Prize","W","Shaolinquan-","Group B"
"432","ARAUZ NIEVES Luciana","MEX","8.22","","W","Shaolinquan-","Group B"
"433","SCHUR CHEN Annie","FRA","8.7","1ST Prize","W","Other Barehand Routines-","Group A/B"
"434","WU Kai Yee","HKG","8.69","1ST Prize","W","Other Barehand Routines-","Group A/B"
"435","DING Sabrina","USA","8.57","1ST Prize","W","Other Barehand Routines-","Group A/B"
"436","LI Winifred Zhen Ping","USA","8.55","2ND Prize","W","Other Barehand Routines-","Group A/B"
"437","MATOS RODRIGUES Ana Carla","BRA","8.55","2ND Prize","W","Other Barehand Routines-","Group A/B"
"438","LIM Verna","MYS","8.52","2ND Prize","W","Other Barehand Routines-","Group A/B"
"439","CHONG Shin Yu","MYS","8.47","3RD Prize","W","Other Barehand Routines-","Group A/B"
"440","SHEN Caitlyn","USA","8.47","3RD Prize","W","Other Barehand Routines-","Group A/B"
"441","SILVA VIANA Layla Ketelen","BRA","8.46","3RD Prize","W","Other Barehand Routines-","Group A/B"
"442","HAO Cindy Yuan","USA","8.44","3RD Prize","W","Other Barehand Routines-","Group A/B"
"443","HUANACUNI PINEDO Pakari Nayra","BOL","8.41","","W","Other Barehand Routines-","Group A/B"
"444","SYAIDHA Hajarah","MYS","8.38","","W","Other Barehand Routines-","Group A/B"
"445","ARUTYUNJAN Adelaida","HUN","8.35","","W","Other Barehand Routines-","Group A/B"
"446","GORDON Ayla Nunnehi","USA","(DNS)","","W","Other Barehand Routines-","Group A/B"
"447","CHANDRASEKARA JAYARATHNA MUDIYANSELAGE Gimhani Akarshana Bogollagama","LKA","(DNS)","","W","Other Barehand Routines-","Group A/B"
"448","LAM Weng San","MAC","8.66","1ST Prize","W","Other Nanquan Routines-","Group C"
"449","ALTUN Sude Merve","TUR","8.64","2ND Prize","W","Other Nanquan Routines-","Group C"
"450","LEOW Le Yi Edda","SGP","8.64","2ND Prize","W","Other Nanquan Routines-","Group C"
"451","MICHOU Despoina","GRC","8.61","3RD Prize","W","Other Nanquan Routines-","Group C"
"452","AVAGYAN Siranush","ARM","8.6","3RD Prize","W","Other Nanquan Routines-","Group C"
"453","TOUROUTSIKA Christina","GRC","8.6","3RD Prize","W","Other Nanquan Routines-","Group C"
"454","HUANG Emma Mei","USA","8.59","","W","Other Nanquan Routines-","Group C"
"455","BANCOS Ema Alexandra","ROU","8.57","","W","Other Nanquan Routines-","Group C"
"456","CHEN Haoran","SGP","8.53","","W","Other Nanquan Routines-","Group C"
"457","WIJESUNDARA MUDIYANSELAGE Matheesha Gimhani Wijesundara","LKA","8.5","","W","Other Nanquan Routines-","Group C"
"458","LEONG Wai Lam","MAC","8.61","1ST Prize","W","Baguazhang-","Group C"
"459","SPULE Estere So?ja","LVA","8.6","2ND Prize","W","Baguazhang-","Group C"
"460","CHUKANOVA Kristina","UKR","8.58","3RD Prize","W","Baguazhang-","Group C"
"461","HUANG Sophie Qianshu","USA","8.49","3RD Prize","W","Baguazhang-","Group C"
"462","ZHANG Ashley Youran","USA","8.4","","W","Baguazhang-","Group C"
"463","LY Kayla Caroling","USA","8.32","","W","Baguazhang-","Group C"
"464","MALAK MOHAMED Omar Montasser","EGY","8.87","1ST Prize","W","Bajiquan-","Group C"
"465","BALASOVA An?sa","LVA","8.76","2ND Prize","W","Bajiquan-","Group C"
"466","MENA TORRES Michelle","MEX","8.68","2ND Prize","W","Bajiquan-","Group C"
"467","KOGAN Erika","ISR","8.67","3RD Prize","W","Bajiquan-","Group C"
"468","JRIBI Chourouk","TUN","8.6","3RD Prize","W","Bajiquan-","Group C"
"469","AISPURO BRINGAS Marisol Guadalupe","MEX","8.55","3RD Prize","W","Bajiquan-","Group C"
"470","SINHALA PELI GEDARA Tanisha Keshavi Nawangi Ranasingha","LKA","8.43","","W","Bajiquan-","Group C"
"471","DABUKA GEDARA Therani Nehara Thilakarathne","LKA","8.42","","W","Bajiquan-","Group C"
"472","KHUVINDAHANDI Shavindi Ayodhya De Silva","LKA","8.41","","W","Bajiquan-","Group C"
"473","WANG Joy Zy","USA","8.76","1ST Prize","W","Chaquan-","Group C"
"474","LEE Hiu Ching","HKG","8.72","2ND Prize","W","Chaquan-","Group C"
"475","COSKUN Ayse Sina","TUR","8.7","2ND Prize","W","Chaquan-","Group C"
"476","FRENEKL Sasha","ISR","8.64","3RD Prize","W","Chaquan-","Group C"
"477","ZIPOR Galia","ISR","8.64","3RD Prize","W","Chaquan-","Group C"
"478","APKHAZAVA Sopiko","GEO","8.6","3RD Prize","W","Chaquan-","Group C"
"479","ARZIANI Mariam","GEO","8.6","3RD Prize","W","Chaquan-","Group C"
"480","YU Ellany","USA","8.58","","W","Chaquan-","Group C"
"481","VLADAREANU Gabriela","ROU","8.58","","W","Chaquan-","Group C"
"482","SONOWAL Kashyapi","IND","8.55","","W","Chaquan-","Group C"
"483","MAXUTOVA Zarina","KAZ","8.53","","W","Chaquan-","Group C"
"484","SILBERSTEIN Mia Jacquelyn","USA","8.47","","W","Chaquan-","Group C"
"485","SPYRIDOU Melina","GRC","8.67","1ST Prize","W","Shaolinquan-","Group C"
"486","BERIY Michal","ISR","8.66","1ST Prize","W","Shaolinquan-","Group C"
"487","MARRA Lara","ITA","8.65","2ND Prize","W","Shaolinquan-","Group C"
"488","HAO Youyang","USA","8.63","2ND Prize","W","Shaolinquan-","Group C"
"489","LOK Mai Cheng","MAC","8.61","2ND Prize","W","Shaolinquan-","Group C"
"490","MUKHAMETOVA Aidana","KAZ","8.59","2ND Prize","W","Shaolinquan-","Group C"
"491","FOTINOGIANNOPOULOU Konstantina","GRC","8.59","3RD Prize","W","Shaolinquan-","Group C"
"492","VAN DER MESCHT Kitana Cora","ZAF","8.56","3RD Prize","W","Shaolinquan-","Group C"
"493","ARUTYUNJAN Anna Maria","HUN","8.54","3RD Prize","W","Shaolinquan-","Group C"
"494","FIETZE Mila Claryssa Esselen","ZAF","8.53","3RD Prize","W","Shaolinquan-","Group C"
"495","Lilly May WRIGHT","GBR","8.53","3RD Prize","W","Shaolinquan-","Group C"
"496","BASSI Giulia","ITA","8.52","3RD Prize","W","Shaolinquan-","Group C"
"497","NADARIO FREITAS Maria Eduarda","BRA","8.47","","W","Shaolinquan-","Group C"
"498","FIALOVA Barbora","CZE","8.46","","W","Shaolinquan-","Group C"
"499","PANAGOPOULOY Kyriaki","GRC","8.43","","W","Shaolinquan-","Group C"
"500","SHIBATA Riin","JPN","8.43","","W","Shaolinquan-","Group C"
"501","MALAK IBRAHIM Abouelmaati Mohamed","EGY","8.35","","W","Shaolinquan-","Group C"
"502","MTSHALI Uthembekile","ZAF","8.33","","W","Shaolinquan-","Group C"
"503","SHIBATA Kanon","JPN","8.25","","W","Shaolinquan-","Group C"
"504","TAMPAKI Dimitra","GRC","8.24","","W","Shaolinquan-","Group C"
"505","PUZIS Nikol","ISR","(DNS)","","W","Shaolinquan-","Group C"
"506","AKYUZ Ayse Sude","TUR","8.85","1ST Prize","W","Other Barehand Routines-","Group C"
"507","WONG Man Ting","HKG","8.75","1ST Prize","W","Other Barehand Routines-","Group C"
"508","JAZMIN Alag","MYS","8.64","1ST Prize","W","Other Barehand Routines-","Group C"
"509","DING Catrina","USA","8.61","2ND Prize","W","Other Barehand Routines-","Group C"
"510","NEDELEA Ana Maria","ROU","8.6","2ND Prize","W","Other Barehand Routines-","Group C"
"511","LAM Xue Ying","MYS","8.56","2ND Prize","W","Other Barehand Routines-","Group C"
"512","HUANG Susie","HKG","8.55","2ND Prize","W","Other Barehand Routines-","Group C"
"513","LY Elva Elizabeth","USA","8.51","2ND Prize","W","Other Barehand Routines-","Group C"
"514","LOBITZ Adel","HUN","8.51","3RD Prize","W","Other Barehand Routines-","Group C"
"515","RABICO VIDEIRA Maria","PRT","8.51","3RD Prize","W","Other Barehand Routines-","Group C"
"516","KOURTIDOU Ioanna Nefeli","GRC","8.5","3RD Prize","W","Other Barehand Routines-","Group C"
"517","MO Emily Dongli","USA","8.49","3RD Prize","W","Other Barehand Routines-","Group C"
"518","MASKOVA Anna","CZE","8.49","3RD Prize","W","Other Barehand Routines-","Group C"
"519","ZHAO Hailey Hu","USA","8.49","3RD Prize","W","Other Barehand Routines-","Group C"
"520","LUU Pham Thanh Thanh","VNM","8.47","3RD Prize","W","Other Barehand Routines-","Group C"
"521","HOANG Vy Yen Nhi","VNM","8.47","3RD Prize","W","Other Barehand Routines-","Group C"
"522","WONG Zhong Wei","MYS","8.47","","W","Other Barehand Routines-","Group C"
"523","DUMITRU Ana Maria","ROU","8.47","","W","Other Barehand Routines-","Group C"
"524","GEORGA Eleni Anna","GRC","8.45","","W","Other Barehand Routines-","Group C"
"525","MARCEL Daniela Mckenzie","USA","8.44","","W","Other Barehand Routines-","Group C"
"526","MEEGODA KANKANAMGE DON Dinari Sineli Meegoda","LKA","8.41","","W","Other Barehand Routines-","Group C"
"527","?ELE?OVÁ Diana","SVK","8.4","","W","Other Barehand Routines-","Group C"
"528","RANCY HAMED Zaki Hamed","EGY","8.36","","W","Other Barehand Routines-","Group C"
"529","IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake","LKA","8.33","","W","Other Barehand Routines-","Group C"
"530","RODRIGUES CHARNECO Mariana","PRT","8.29","","W","Other Barehand Routines-","Group C"
"531","KWAN Ning Wai","HKG","8.74","1ST Prize","W","Hongjiaquan (Hung Gar) -","Group D"
"532","TAN Shi Xuan Esther","SGP","8.65","2ND Prize","W","Hongjiaquan (Hung Gar) -","Group D"
"533","LOW Qiu Min Elicia","SGP","8.62","3RD Prize","W","Hongjiaquan (Hung Gar) -","Group D"
"534","RYCHLEWSKA Emila Marta","POL","8.58","3RD Prize","W","Hongjiaquan (Hung Gar) -","Group D"
"535","VATZAKA Christina","GRC","8.55","","W","Hongjiaquan (Hung Gar) -","Group D"
"536","LEE Wing Yung","HKG","8.73","1ST Prize","W","Other Southern Routines-","Group D"
"537","KALUARACHCHI Devni Chamodya","SGP","8.61","1ST Prize","W","Other Southern Routines-","Group D"
"538","SIRTO Elisabetta","ITA","8.59","2ND Prize","W","Other Southern Routines-","Group D"
"539","ALEXANDRA Dwi Putri","IDN","8.58","2ND Prize","W","Other Southern Routines-","Group D"
"540","BEKIARI Maria Ioanna","GRC","8.58","2ND Prize","W","Other Southern Routines-","Group D"
"541","ZAVIALOVA Svitlana","UKR","8.57","2ND Prize","W","Other Southern Routines-","Group D"
"542","BENCINI CRUZ Silvia","PRT","8.57","3RD Prize","W","Other Southern Routines-","Group D"
"543","LE Tran Bao Tran","VNM","8.57","3RD Prize","W","Other Southern Routines-","Group D"
"544","LEE Sze Min Josephine","SGP","8.57","3RD Prize","W","Other Southern Routines-","Group D"
"545","LAMPADA Maria","GRC","8.56","3RD Prize","W","Other Southern Routines-","Group D"
"546","PAPAGEORGOPOULOU Marina","GRC","8.55","3RD Prize","W","Other Southern Routines-","Group D"
"547","TAN Wei Qing Regina","SGP","8.53","3RD Prize","W","Other Southern Routines-","Group D"
"548","MICU Lorena Eliana","ROU","8.53","","W","Other Southern Routines-","Group D"
"549","CIECHANOWSKA Magdalena Katarzyna","POL","8.52","","W","Other Southern Routines-","Group D"
"550","KAUR Karamjit","IND","8.5","","W","Other Southern Routines-","Group D"
"551","LIONTOU Ioanna","GRC","8.5","","W","Other Southern Routines-","Group D"
"552","SKORUPA Agnieszka Barbara","POL","8.49","","W","Other Southern Routines-","Group D"
"553","VILLALONGA SEBASTIA Elena","ESP","8.45","","W","Other Southern Routines-","Group D"
"554","PODAKANTI Pavithra Chary","IND","8.45","","W","Other Southern Routines-","Group D"
"555","TEMIME Kahina","DZA","(DNS)","","W","Other Southern Routines-","Group D"
"556","JING Xuecai","CHN","8.71","1ST Prize","M","Gun (Cudgel/Sta?)- ","Group E"
"557","PUZIS Rami","ISR","8.54","2ND Prize","M","Gun (Cudgel/Sta?)- ","Group E"
"558","JIA Meng","CHN","8.51","3RD Prize","M","Gun (Cudgel/Sta?)- ","Group E"
"559","FUKUNISHI Tadashi","JPN","8.48","3RD Prize","M","Gun (Cudgel/Sta?)- ","Group E"
"560","HUANACUNI MAMANI Fernando","BOL","8.48","","M","Gun (Cudgel/Sta?)- ","Group E"
"561","SMOOK Christiaan Harold","ZAF","8.46","","M","Gun (Cudgel/Sta?)- ","Group E"
"562","ALKELANY Farouk Alkelany","EGY","8.41","","M","Gun (Cudgel/Sta?)- ","Group E"
"563","IOANA Florin","ROU","(DNS)","","M","Gun (Cudgel/Sta?)- ","Group E"
"564","BEIBALAYEV Artyom","KAZ","(DNS)","","M","Gun (Cudgel/Sta?)- ","Group E"
"565","Mamadou FALL","SEN","(DNS)","","M","Gun (Cudgel/Sta?)- ","Group E"
"566","FESCHENKO Daniil","UKR","8.67","1ST Prize","M","Other Soft-Weapon -","Group D/E/F"
"567","HO Yin Ching","HKG","8.64","1ST Prize","M","Other Soft-Weapon -","Group D/E/F"
"568","TEO Chee Wei","SGP","8.62","2ND Prize","M","Other Soft-Weapon -","Group D/E/F"
"569","ZAMOLO Giuliano Isa","ROU","8.58","2ND Prize","M","Other Soft-Weapon -","Group D/E/F"
"570","MORALES GARCIA Jose Luis","ESP","8.57","3RD Prize","M","Other Soft-Weapon -","Group D/E/F"
"571","GALLARDO GONZALO Ivan","ESP","8.55","3RD Prize","M","Other Soft-Weapon -","Group D/E/F"
"572","SHEN Aspen Ziyang","USA","8.53","3RD Prize","M","Other Soft-Weapon -","Group D/E/F"
"573","KEYS Aaron Jamaal","USA","8.51","","M","Other Soft-Weapon -","Group D/E/F"
